Time (Hour),Y (E1),Y (F1),Y (G1),Y (E2),Y (F2),Y (G2)
0,0,0,0,0,0,0
0.004722,0.0021,0.0014,-0.0006,0.0003,0.0002,-0.0027
0.254722,-0.0036,-0.021,-0.0408,-0.0163,-0.0328,-0.0502
1.289444,0.1318,0.1288,0.1329,0.1265,0.1123,0.1219
1.539722,0.2451,0.2124,0.2053,0.2223,0.2069,0.1904
1.79,0.4148,0.3871,0.3961,0.39,0.3807,0.3726
2.04,0.5599,0.5288,0.5514,0.5431,0.5334,0.5198
2.290278,0.6677,0.6295,0.6612,0.6514,0.6501,0.6269
2.540556,0.753,0.7065,0.7464,0.7329,0.7341,0.7033
2.789722,0.8301,0.7808,0.825,0.8114,0.8113,0.7737
3.039444,0.8989,0.8499,0.8978,0.8835,0.8844,0.8413
3.289722,0.9704,0.9163,0.9707,0.9457,0.9479,0.9078
3.54,1.026,0.9806,1.0452,1.0028,1.0084,0.9757
3.789722,1.0863,1.0439,1.1075,1.0622,1.0618,1.0291
4.039722,1.1273,1.0938,1.1651,1.1124,1.1114,1.09
4.289722,1.1762,1.1379,1.228,1.1583,1.1554,1.1362
4.54,1.2166,1.1836,1.2621,1.2014,1.1918,1.1814
4.790278,1.2291,1.211,1.2824,1.2297,1.2164,1.2159
5.040556,1.2586,1.2367,1.3147,1.2521,1.2379,1.2377
5.290833,1.2748,1.2562,1.3374,1.2865,1.263,1.259
5.540833,1.2877,1.2793,1.3554,1.3009,1.2765,1.2848
5.791111,1.2894,1.2937,1.3576,1.3136,1.2869,1.3034
6.041111,1.2981,1.3036,1.3592,1.3222,1.2898,1.3095
6.291389,1.2938,1.308,1.3657,1.3302,1.2958,1.3078
6.541389,1.2951,1.2944,1.3639,1.322,1.2959,1.3133
6.791667,1.2889,1.29,1.3627,1.3301,1.2907,1.3072
7.041667,1.2854,1.278,1.3676,1.3293,1.292,1.3004
7.291944,1.294,1.275,1.3583,1.3338,1.2884,1.297
7.542222,1.2884,1.2832,1.3477,1.3372,1.2868,1.2926
7.791944,1.2822,1.2876,1.3455,1.3337,1.2778,1.2989
8.042222,1.2792,1.2866,1.3459,1.3375,1.2836,1.2994
8.292778,1.282,1.2832,1.3467,1.3474,1.288,1.2906
8.543056,1.2816,1.2784,1.3472,1.3505,1.2837,1.2997
8.793333,1.2721,1.2735,1.3347,1.3398,1.279,1.2986
9.043333,1.2615,1.2742,1.332,1.3523,1.2754,1.2914
9.293333,1.2648,1.2726,1.3341,1.3518,1.2708,1.2846
9.543056,1.2603,1.2738,1.3257,1.3435,1.2827,1.2854
9.793056,1.2614,1.2672,1.3322,1.3426,1.2794,1.2886
10.043056,1.2729,1.268,1.3307,1.3324,1.2699,1.2764
10.293333,1.2751,1.2655,1.3267,1.3313,1.2689,1.2711
10.543333,1.2739,1.2623,1.3363,1.3168,1.2658,1.2808
10.793611,1.2729,1.273,1.3226,1.3055,1.2607,1.2881
11.043889,1.2745,1.2682,1.3232,1.3038,1.2668,1.2914
11.294167,1.2706,1.2683,1.3115,1.3087,1.2676,1.2893
11.544444,1.2706,1.2648,1.287,1.3043,1.2724,1.2941
11.794444,1.2652,1.2615,1.2865,1.2953,1.262,1.2927
12.044444,1.2722,1.2629,1.2898,1.2869,1.2618,1.2815
12.294722,1.2698,1.2583,1.2823,1.3014,1.262,1.271
12.544722,1.2742,1.2574,1.2784,1.2925,1.2497,1.2713
12.794722,1.2643,1.2487,1.28,1.2942,1.2397,1.2673
13.045,1.2739,1.2473,1.2788,1.2871,1.2369,1.2637
13.296111,1.2682,1.2473,1.2729,1.2835,1.2317,1.2404
13.546389,1.2622,1.2219,1.2655,1.2677,1.2261,1.2395
13.796389,1.2545,1.2249,1.2587,1.2713,1.2216,1.2341
14.046389,1.2497,1.2279,1.2602,1.2635,1.2237,1.2188
14.296667,1.2408,1.218,1.2479,1.25,1.2095,1.2161
14.546389,1.2502,1.2145,1.2291,1.2516,1.199,1.2089
14.796667,1.2317,1.2067,1.2103,1.251,1.1968,1.2034
15.046667,1.2228,1.2028,1.2034,1.2462,1.189,1.1979
15.296944,1.2209,1.2045,1.2159,1.2527,1.1839,1.1984
15.546944,1.2266,1.19,1.2072,1.2533,1.1803,1.1943
15.796944,1.2168,1.1819,1.2066,1.2499,1.1791,1.1946
16.047222,1.2076,1.1816,1.1925,1.229,1.1666,1.1991
16.297222,1.2086,1.1755,1.1991,1.235,1.1685,1.1944
16.547222,1.2116,1.1801,1.1877,1.2379,1.1715,1.1975
16.797222,1.1968,1.1742,1.1845,1.239,1.1747,1.2068
17.047222,1.1976,1.167,1.1728,1.2306,1.1631,1.2054
17.2975,1.1983,1.1635,1.1678,1.2265,1.1676,1.1986
17.5475,1.1993,1.1667,1.1594,1.2173,1.1578,1.2065
17.7975,1.202,1.1575,1.1507,1.2135,1.1508,1.2131
18.047778,1.1928,1.1678,1.146,1.2165,1.1524,1.2041
18.298056,1.1963,1.179,1.1434,1.2128,1.1536,1.2004
18.548333,1.2002,1.1654,1.1569,1.2136,1.143,1.1999
18.798056,1.1908,1.1562,1.158,1.2065,1.1547,1.1998
19.048333,1.2015,1.1524,1.1628,1.2155,1.1598,1.2056
19.298611,1.2128,1.1517,1.1735,1.221,1.1611,1.2091
19.548611,1.218,1.1522,1.173,1.2267,1.1614,1.2201
19.798611,1.2227,1.1591,1.1849,1.2423,1.1671,1.2108
20.048889,1.222,1.1561,1.1946,1.2413,1.1636,1.2193
20.298889,1.227,1.1717,1.2033,1.24,1.1641,1.2316
20.548889,1.2225,1.1749,1.2051,1.2385,1.1738,1.2388
20.798611,1.2273,1.1764,1.2014,1.2337,1.1811,1.2476
21.048889,1.231,1.1817,1.2081,1.2352,1.187,1.2558
21.298889,1.2373,1.1913,1.2119,1.2346,1.1941,1.2492
21.549167,1.2433,1.1984,1.218,1.2332,1.2036,1.2504
21.799167,1.244,1.2063,1.2167,1.2341,1.1997,1.2594
22.048889,1.2415,1.2003,1.2242,1.2474,1.2012,1.2609
22.299167,1.236,1.2072,1.2298,1.254,1.206,1.2735
22.549444,1.2472,1.2138,1.2465,1.262,1.2189,1.2888
22.799722,1.2555,1.2137,1.2629,1.2832,1.2363,1.303
23.049722,1.2664,1.2287,1.2798,1.2958,1.2309,1.3076
23.3,1.2751,1.2492,1.2783,1.2992,1.2455,1.3171
23.55,1.2863,1.2636,1.2834,1.3158,1.2582,1.3314
23.8,1.2865,1.2856,1.2913,1.3226,1.2734,1.3429
25.082778,0.9395,0.9015,0.8884,0.8919,0.833,0.9385
25.333056,0.7114,0.6463,0.5692,0.7279,0.6811,0.6947
25.583056,0.5472,0.4884,0.408,0.5241,0.4761,0.4504
25.833333,0.5838,0.5273,0.4471,0.5452,0.5042,0.4785
26.083611,0.649,0.5887,0.5043,0.6113,0.5646,0.5398
26.333611,0.7215,0.6523,0.567,0.6689,0.6211,0.6095
26.583889,0.7973,0.7277,0.6464,0.737,0.6907,0.6872
26.833889,0.8909,0.8178,0.7307,0.8241,0.7793,0.7813
27.084167,0.9856,0.9147,0.8205,0.9231,0.8711,0.8699
27.334167,1.0769,0.9906,0.896,1.0117,0.9613,0.936
27.584167,1.1414,1.062,0.9534,1.0732,1.0216,0.9836
27.834167,1.1782,1.1,0.9888,1.1179,1.0553,1.0237
28.084167,1.207,1.1231,1.0049,1.1558,1.0809,1.0389
28.334444,1.224,1.1299,1.0076,1.1898,1.0932,1.0437
28.584444,1.2269,1.1314,1.0024,1.2078,1.0942,1.0483
28.834722,1.22,1.1288,0.9946,1.2055,1.0878,1.0439
29.084722,1.208,1.1058,0.9957,1.1974,1.0819,1.0456
29.335,1.2013,1.0853,0.981,1.1766,1.0761,1.0363
29.585,1.1926,1.0771,0.9771,1.164,1.0656,1.0333
29.835278,1.1827,1.0745,0.9778,1.1608,1.0597,1.0457
30.085556,1.1751,1.0771,0.9698,1.1667,1.0585,1.0585
30.335556,1.1744,1.0735,0.9782,1.1629,1.0596,1.0728
30.585833,1.1797,1.0752,0.9875,1.1601,1.0605,1.0693
30.835833,1.1797,1.0823,0.9949,1.1512,1.055,1.0743
31.086111,1.174,1.0756,0.9944,1.1661,1.0557,1.0774
31.336389,1.1694,1.0688,0.9967,1.1643,1.0596,1.0761
31.586667,1.1719,1.064,0.9907,1.1587,1.0672,1.0849
31.836667,1.1857,1.0685,1.0034,1.1555,1.0603,1.0914
32.086667,1.1881,1.0856,1.0222,1.1775,1.0756,1.1145
32.336944,1.1924,1.104,1.0415,1.2148,1.089,1.148
32.586944,1.2093,1.128,1.0642,1.2327,1.105,1.1989
32.837222,1.2445,1.1471,1.0988,1.2689,1.1242,1.2269
33.087222,1.27,1.1795,1.1376,1.2873,1.1412,1.2655
33.3375,1.2992,1.2007,1.1789,1.3117,1.1763,1.2947
33.5875,1.3322,1.2371,1.2092,1.352,1.2128,1.3204
33.837778,1.3589,1.2798,1.2556,1.3698,1.2526,1.3722
34.088056,1.3875,1.3202,1.3037,1.386,1.2877,1.4091
34.338056,1.4015,1.3465,1.3442,1.4047,1.3175,1.4407
34.588333,1.433,1.386,1.3819,1.4262,1.3576,1.4793
34.838056,1.4638,1.4224,1.4373,1.4573,1.3883,1.5167
35.088333,1.495,1.4633,1.4825,1.4941,1.4228,1.5642
35.338611,1.5321,1.5149,1.5113,1.541,1.4716,1.6125
35.588889,1.5561,1.5644,1.5517,1.5726,1.5038,1.6698
35.838889,1.59,1.6201,1.5921,1.6115,1.5299,1.7185
36.089167,1.6142,1.6639,1.6412,1.6525,1.56,1.7668
36.339444,1.6473,1.7043,1.6716,1.6891,1.6115,1.8058
36.589167,1.6768,1.7327,1.7253,1.7388,1.6474,1.8502
36.839444,1.7207,1.771,1.7661,1.7642,1.7023,1.8729
37.089444,1.7554,1.8234,1.8197,1.8059,1.7476,1.8973
37.339722,1.7795,1.8682,1.8474,1.8372,1.7669,1.9124
37.589722,1.8275,1.932,1.8728,1.8519,1.8114,1.9227
37.84,1.8764,1.9898,1.9051,1.8842,1.8492,1.9337
38.090278,1.9307,2.0387,1.916,1.9232,1.8915,1.9498
38.340278,1.9858,2.0894,1.9613,1.9657,1.9383,1.9826
38.590556,2.0315,2.1344,1.9956,2.0133,1.9894,2.0143
38.840556,2.0794,2.1755,2.0357,2.0606,2.0434,2.0398
39.090833,2.1179,2.2382,2.0545,2.108,2.0973,2.0541
